area,family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
saanich,Balsaminaceae,Impatiens parviflora,Impatiens parviflora,Marr Galloping Goose Trail 2004. AC Sidney airport 1990.,,,,,,,RBCM V169440 A. Ceska Sydney airport 1990. (Should precede K. Marr Galloping Goose Trail 2004. (TL),TL,remaining,remaining
saanich,Berberidaceae,Achlys triphylla,Achlys triphylla,"Shady, moist woods, occasionally in open, moist places and along streams; fairly common in Royal Oak, Saanichton, Sidney, Langford, and Goldstream and occasional throughout in suitable habitats.",,,,,,,"University of Oslo (UiO) 2132621 J.M. Macoun Victoria 1893. According to Brayshaw (1989), this species in North America consists of two types with different chromosome numbers. One is diploid (2n=12) and ""occupies well-drained, often open upland sites. The other [type] is tetraploid (2n=24) ... and tends to occupy deeply shaded sites on low bottomland forests"". While there are morphological differences, Brayshaw indicates that the important separating characters -- stomatal size -- are not easily visible and require a microscope for examination.   Note author: R. Klinkenberg July 17, 2009. (TL)","AS, HR, TL",complete,remaining
saanich,Berberidaceae,Berberis aquifolium,Berberis aquifolium,"Woods, thickets, and open exposed slopes; very common throughout the area. B. darwinii Hook. once collected at Saanich Experimental Farm. Escaping? B. darwinii iNaturalist record Konukson Park on Ten Mile Point 2020 - no information on naturalization.",,,,,,,"UBC V63197 J.R. Anderson Victoria, Beaver Lake 1897. (TL)","AS, TL",complete,remaining
saanich,Berberidaceae,Berberis nervosa,Berberis nervosa,Open woods and thickets; widely distributed and common throughout in suitable habitats.,,,,,,,University of Oslo (UiO) 2132638 J.M. Macoun vicinity of Victoria 1893. (TL),TL,complete,remaining
saanich,Berberidaceae,Vancouveria hexandra,Vancouveria hexandra,Cultivated in gardens and is occasionally found as an escapee in the Victoria area. No collections. McMahon Playfair Park iNaturalist report 2020.,,,,,,,"UBC V231733 R.A. Mindell, B.C. Zhuang UBC Botanical Garden (cultivated) 2009. (TL)",TL,remaining,remaining
saanich,Betulaceae,Alnus rubra,Alnus rubra,"Moist woods, along the ditches and wet shoreline; common in suitable habitats throughout.",,,,,,,"US Herbarium: Smithsonian Institution US 373594 F.V. Coville, T.H. Kearney Victoria 1899. (TL)","AS, TL",complete,remaining
saanich,Betulaceae,Alnus viridis ssp. sinuata,Alnus alnobetula sinuata,"Moist places, margins of streams and lakes; rare; restricted to Goldstream and the Langford areas.",,,,,,,Harvard University Herbaria bar code: 02196235 J.M. Macoun Shawnigan Lake 1893. Note: Three subspecies occur in BC. (E-Flora B.C.) (TL),TL,remaining,remaining
saanich,Betulaceae,Betula papyrifera,Betula papyrifera,"Low, wet ground; apparently rare on Vancouver Island; scattered colonies occur in the Lost Lake and Sidney areas.",,,,,,,UBC V64040 J.R. Anderson N Saanich Islands 1897. (TL) ,TL,remaining,remaining
saanich,Betulaceae,Betula pendula,Betula pendula,AC Blenkinsop Lake 1976.,,,,,,,"The earliest specimen record for this species in the UBC Herbarium is a collection from the Fraser River delta by Vladimir Krajina in 1949, from the Lulu Island Bog. UBC V88025 V.J. Krajina Richmond, Lulu Island 1949. (Replace present text with this:) RBCM V182637 A.&O. Ceska Blenkinsop Lake S&SW parts 1976. (TL)",TL,remaining,remaining
saanich,Betulaceae,Betula pubescens,Betula pubescens,TCB Goldstream Provincial Park between Langford and the park 1970.,,,,,,,"(Replace with:) RBCM V057389 T.C. Brayshaw, R. Ogilvie Goldstream Provincial Park between Langford and the Park 1970. (TL)",TL,remaining,remaining
saanich,Betulaceae,Betula pumila,Betula pumila,Margins of marshes; lakes and peat bogs; Rithet's Bog and Lost Lake A&O Ceska.,,,,,,,"UBC V6513 J.R. Anderson Victoria, Cedar Hill, swamps at Broadmead 1896. Betula pumila L. var. glandulifera Regel = Betula pumila L. Note: This species apparently hybridizes with B. pendula and B. papyrifera in our area (Brayshaw 1996b). Source: The Illustrated Flora of British Columbia (TL)                       
                              ",TL,remaining,remaining
saanich,Betulaceae,Corylus cornuta ssp. californica,Corylus cornuta californica,"Open to shady woods, along streams; frequent in the Langford, Highland, and Goldstream areas, occasional in Central and North Saanich. A&OC Spencer Pond, Langford 1998.",,,,,,,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands p.32  under C. rostrata var. californica J.M. Macoun Goldstream 1921. (TL),TL,remaining,remaining
saanich,Blechnaceae,Struthiopteris spicant,Struthiopteris spicant,"In damp, open, coniferous forests and damp shady places; most common in the Goldstream, Highland, and Langford areas.",,,,,,,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands 1921 p.8 Common. Vancouver Island. (TL) ,TL,remaining,remaining
saanich,Blechnaceae,Woodwardia fimbriata,Woodwardia fimbriata,"Moist, wet places; collected by W. A. Newcombe in 1919 at Saanich Arm, very rare in British Columbia and known from Texada and Lasqueti Islands. Douglas, Pojar & Strahley Saanich Arm. Mark Lane collection Willis Point. Small population at Sheepshanks Hill, base of 1 km west of Spectacle Creek, Roemer & Ceska. Also known from Bamberton side of Saanich inlet.",,,,,,,UBC V235545 C.F. Newcombe Saanich Arm 1919. (Strahley should be G.B. Straley) (TL),TL,remaining,remaining
saanich,Boraginaceae,Amsinckia intermedia,Amsinckia menziesii intermedia,"Dry, open ground; a weed of roadsides and waste places; Oak Bay, Victoria, and Sidney.",,,,,,,J. Davidson Beacon Hill Park 1912. F. Perry Victoria 1917. (TL) ,TL,remaining,remaining
saanich,Boraginaceae,Amsinckia lycopsoides,Amsinckia lycopsoides,"Rare; reported from Sidney by J.M. Macoun in 1913 and the Uplands by M. C. Melburn in 1953. H&C2018 mention 1921 historical SC BC, chiefly east of Cascades.",,,,,,,RBCM V004114 J.M. Macoun Mayne Island 1913. (RBCM digitized voucher specimen declares the location is Mayne Island). (TL),TL,remaining,remaining
saanich,Boraginaceae,Amsinckia menziesii,Amsinckia menziesii,"Dry, open places; rare; collected at Clover Point by M. C. Melburn in 1966. Oak Bay, Victoria, Sidney.",,,,,,,"UBC V6628 J.K. Henry Victoria 1912. UBC V6621 J. Davidson Victoria 1913. UBC V137780 W. Taylor Victoria 1914. UBC V6625 G. Gervais Buck Lake, Pender Island 1915.","TL, AS",complete,remaining
saanich,Boraginaceae,Amsinckia retrorsa,Amsinckia menziesii menziesii,"J. Eastman coast at Beacon Hill 1912. F. Tomka Cowichan District, Imrie Island 1963. A&OC Oak Bay; Gonzales Hill; Harling Point: Harling Point, golf course 1974. MCM Humber Road 1954. Hardy Oak Bay Golf Course 1949. J. Eastham Cadboro Bay 1938. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.",,,,,,,"??? Harling Point: Harling Point, golf course 1974. ??? (Redundancy?) Who is MCM?",TL,remaining,remaining
saanich,Boraginaceae,Amsinckia spectabilis,Amsinckia spectabilis,"Open, flat, and disturbed soil; rare or overlooked; the only records came from the Sidney area, where it was collected by J.M. Macoun in 1913 and the Uplands district by M. C. Melburn in 1953 and 1964. Records of A. menziesii and A. spectabilis should be verified.",,,,,,,"UBC V115929 J. Davidson Victoria 1913. UBC V63311 W. Taylor Islands south area, Victoria 1913.",TL,remaining,remaining
saanich,Boraginaceae,Anchusa officinalis,Anchusa officinalis,Native of Europe; along roadsides; occasionally found as a weed in North Saanich and Brentwood.,,,,,,,RBCM V009621 E. Cooke Saanich: N Saanich district Brentwood 1935.,TL,remaining,remaining
saanich,Boraginaceae,Borago officinalis,Borago officinalis,"Native of Europe; occasionally cultivated and found as a weed in Saanich, Victoria and Oak Bay.",,,,,,,RBCM V005925 B. Cox Vancouver Island 1920.,TL,remaining,remaining
saanich,Boraginaceae,Cryptantha torreyana,Cryptantha torreyana,"Dry, open places; rare; Royal Oak and Esquimalt. Check at V, not found on CDC Explorer. No coast collections CPNWH",,,,,,,"""... frequent in the southern Interior, Lytton to Grand Forks."" J.W. Eastham Supplement to Flora of Southern British Columbia (J.K. Henry).",TL,remaining,remaining
saanich,Boraginaceae,Echium vulgare,Echium vulgare,"Native of Europe; occasional; established on disturbed sites. MCM Pipeline Road 1963, Marr Royal Roads Gravel Pit, Langford 2007",,,,,,,RBCM V100406 M.C. Melburn Victoria Pipeline Road 1963. (TL),TL,remaining,remaining
saanich,Boraginaceae,Hackelia diffusa,Hackelia diffusa,"Rare; known only from West Saanich, where it was collected by M. C. Melburn in 1956. Re-identified as Myosotis laxa.",,,,,,,Not known from the area of interest. REMOVE? (TL),TL,remaining,remaining
saanich,Boraginaceae,Hydrophyllum tenuipes,Hydrophyllum tenuipes,"Shady, moist woods; known only from the Goldstream area.",,,,,,,"Family should be Hydrophyllaceae. RBCM V004064 J.R. Anderson Goldstream River 1898. (Photo ID #16367) E-Flora B.C. photo gallery Jamie Fenneman Goldstream Park, Victoria 2009. (TL)",TL,remaining,remaining
saanich,Boraginaceae,Myosotis arvensis,Myosotis arvensis,Native of Eurasia; roadsides and disturbed ground; established as a weed in the Saanich area; occasional in other areas.,,,,,,,RBCM V004156 J.M. Macoun Mayne Island 1914. (TL),TL,remaining,remaining
saanich,Boraginaceae,Myosotis discolor,Myosotis discolor,"Native of Europe; becoming weedy in some areas, North Saanich, Royal Oak, Sidney, and the Highland district.",,,,,,,"RBCM V004153 J.M. Macoun Saanich, Roberts Bay 1913. (TL)",TL,remaining,remaining
saanich,Boraginaceae,Myosotis laxa,Myosotis laxa,Moist soils and shallow waters; one of our most common forget-me-nots; throughout in suitable habitats.,,,,,,,RBCM V041412 W. Newcombe Saanich District: Elk Lake 1912. RBCM V004154 J.M. Macoun Victoria: Elk Lake 1912. (TL),TL,remaining,remaining
saanich,Boraginaceae,Myosotis micrantha,Myosotis stricta,"Open, dry, rocky places; known only from Thetis Lake Park and the Highland district, where it was collected by J. A. Calder in 1956. A&OC Observatory Hill 1977, TCB Trial Island 1992, A&OC Colwood 1977.",,,,,,,RBCM V045268 J. Calder Victoria: Thetis Lake 1956. (TL),TL,remaining,remaining
saanich,Boraginaceae,Myosotis scorpioides,Myosotis scorpioides,"Native of Europe; edges of ponds and wet, submerged places; known from the Central Saanich and Saanichton areas. Blenkinsop Lake and Thetis Lake.",,,,,,,RBCM V041418 W. Carter Alberni 1915. (TL),TL,remaining,remaining
saanich,Boraginaceae,Nemophila menziesii,Nemophila menziesii,Listed in Henry's Flora as occurring in Victoria; specimen not examined; a southern species and most likely a garden escapee. No recent records.,,,,,,,Family should be Hydrophyllaceae. While N. menziesii is mentioned in Henry's Flora on p. 247 (1915) no voucher specimens found in B.C. have shown up at UBC or RBCM. It is a self seeding annual and is sold to the public by West Coast Seeds as Baby Blue Eyes. There are also several cultivars on the market as well. I agree that it is at most a garden escape and no more. (TL),TL,remaining,remaining
saanich,Boraginaceae,Nemophila parviflora var. parviflora,Nemophila parviflora parviflora,"Wet, open, or semiwooded places; common in Goldstream, Langford, Thetis Lake Park, and North Saanich.",,,,,,,Family should be Hydrophyllaceae. UBC V5215 J.K. Henry Victoria 1912. (TL),TL,remaining,remaining
saanich,Boraginaceae,Nemophila pedunculata,Nemophila pedunculata,"Moist, open meadows; occasional; Thetis Lake Park, Cattle Point, 10 Mile Point, and Mount Douglas.",,,,,,,Family should be Hydrophyllaceae. UBC V95213 J.K. Henry Duncan circa before 1915. (TL),TL,remaining,remaining
saanich,Boraginaceae,Pentaglottis sempervirens,Pentaglottis sempervirens,Established Swan Lake 2019-2021. Many iNaturalist reports.,,,,,,,Note: This introduced species was first recorded for B.C. by F. Lomer in 2000. (E-Flora B.C.) GBIF iNaturalist research-grade observation Cat. No. 40939362 megemaple Swan Lake and Christmas Hill Nature Sanctuary 2020. (The first of 14 iNat observation occurrences for P. sempervirens in the Saanich Peninsula.) (TL),TL,remaining,remaining
saanich,Boraginaceae,Phacelia linearis,Phacelia linearis,"Dry, open places; known from Mount Douglas; first recorded from the Outer Wharf, Victoria, by J.M. Macoun in 1913.",,,,,,,Family should be Hydrophyllaceae. I haven't found Harvey's record for J.M. Macoun 1913. (TL),TL,remaining,remaining
saanich,Boraginaceae,Plagiobothrys chorisianus,Plagiobothrys chorisianus,No records north of California found.,not in FPNW2,,,,,,Consider deleting. TL,TL,remaining,remaining
saanich,Boraginaceae,Plagiobothrys cusickii,Plagiobothrys scouleri cusickii,"Davidson Victoria footpath 1913. Annotated Matt Guilliams UBC, 2018. Recheck V vouchers. MCM Duncan 1965.",,,,,,,UBC V6604 J. Davidson Victoria on foot path 1913. (Annotated by C.M. Guilliams 2018.) RBCM V101413 M.C. Melburn Duncan 1965. (TL),TL,remaining,remaining
saanich,Boraginaceae,Plagiobothrys figuratus,Plagiobothrys figuratus,"Open, moist lowlands; known mainly from Saanich, being most abundant near Lost Lake and Sidney. Often misidentified and confused with Plagiobothrys scouleri (H. & A.) Johnst. which is superficially similar. (Allocarya figurata Piper) No recent collections.",,,,,,,UBC V6608 J.K. Henry Nanaimo 1913. (Closest early record.) (TL),TL,remaining,remaining
saanich,Boraginaceae,Plagiobothrys scouleri,Plagiobothrys scouleri,"Moist, open ground; the most common Plagiobothrys in the area; abundant in the Victoria and Oak Bay areas.",,,,,,,RBCM V004128 J.R. Anderson Oak Bay 1896. (TL) ,TL,remaining,remaining
saanich,Boraginaceae,Plagiobothrys tenellus,Plagiobothrys tenellus,"Dry, open places; known from Victoria West, Mount Douglas, Lone Tree Hill and the Sidney areas; now possibly extirpated.",,,,,,,,,remaining,remaining
saanich,Boraginaceae,Romanzoffia sitchensis,Romanzoffia sitchensis,Montain to alpine range in IFBC. Only voucher at V was mis-identified Cymbelaria muralis from a garden.,,,,,,,Family should be Hydrophyllaceae. Cymbelaria should be spelled Cymbalaria. UBC V215806 A.&O. Ceska Crofton: Grave Point 1987. (TL),TL,remaining,remaining
saanich,Boraginaceae,Romanzoffia tracyi,Romanzoffia tracyi,"Wet sea-cliffs; occasional; Dallas Road, Victoria; not collected recently. All Dallas Road collections from a garden. Nearest native site Metchosin.",,,,,,,"Family should be Hydrophyllaceae. RBCM V159129 R.&S. Ogilvie Devonian Regional Park, Parry Bay, Taylor Beach: South of Metchosin 1988. Numerous iNaturalist occurrences. (TL)",TL,remaining,remaining
saanich,Boraginaceae,Symphytum officinale,Symphytum officinale,Native of Europe; escaped from cultivation and established along roadsides and in old orchards in the Royal Oak area.,,,,,,,RBCM V100429 J. Chandler Victoria 1959. (TL),TL,remaining,remaining
saanich,Brassicaceae,Alliaria petiolata,Alliaria petiolata,Native of Eurasia; waste places and disturbed ground; locally well established.,,,,,,,RBCM V021119A G. Carl Oak Bay: Gonzales District 1948. (First record for Vancouver Island.) (TL),TL,remaining,remaining
saanich,Brassicaceae,Alyssum alyssoides,Alyssum alyssoides,Waste places on dry soil; well established and weedy in some areas.,,,,,,,No voucher specimens or iNaturalist observations found. (TL),TL,remaining,remaining
saanich,Brassicaceae,Arabidopsis thaliana,Arabidopsis thaliana,"Native of Europe; weedy; shady banks; sporadic; Cadboro Bay, Royal Oak, Saanichton, and Thetis Lake Park.",,,,,,,UBC V131145 J.W. Eastham Saanichton 1939. (TL),TL,remaining,remaining
saanich,Brassicaceae,Arabis eschscholtziana,Arabis eschscholtziana,"Circumpolar; rock ledges and hillsides; occasional; Sidney, Mount Finlayson, and Millstream. HJ Mt Finlayson 1983.", ,,,,,,RBCM V040840 C.F. Newcombe Victoria 1890. (TL),TL,remaining,remaining
saanich,Brassicaceae,Athysanus pusillus,Athysanus pusillus,"Sandy ground and dry, open places; sporadic throughout.",,,,,,,UBC V13253 J.K. Henry Victoria 1897. (TL),TL,remaining,remaining
saanich,Brassicaceae,Aubrieta deltoidea,Aubrieta deltoidea,"Established on rock road cuts, Island Highway, Pat Bay Highway. HLR Saanich 2006. Many iNaturalist reports for penisula.",,,,,,,"RBCM V199791 H. Roemer Saanich, W end of Watkiss Way 2006. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Aurinia saxatilis,Aurinia saxatilis,"Several iNaturalist observations for area. Road face rock cuts Island Highway, Pat Bay Highway.",,,,,,,"UBC V191723 G.B. Straley Vancouver Island, 17 km east of Cowichan Lake, parking lot at rest area 1987. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Barbarea orthoceras,Barbarea orthoceras,"Harrison Sidney 1967, Shepard Chatham Island 1991, A&OC Bear Mt Road 1977, Manton Mill Hill 2012., Newcombe Mt McDonald 1920.",,,,,,,RBCM V049864 C.F. Newcombe Mt McDonald: Goldstream 1920. (TL),TL,remaining,remaining
saanich,Brassicaceae,Barbarea verna,Barbarea verna,"Tompka Mandarte Island 1963, Marr Hartland Landfill 2007, Long Mt Douglas 1973, Marr Esquimalt: between Tyee Road and Galloping Goose 2007.",,,,,,,"RBCM V002078 J.R. Anderson Victoria, Oak Bay 1895. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Barbarea vulgaris,Barbarea vulgaris,Wet places; common.,,,,,,,"RBCM V002097 J.R. Anderson Victoria, Oak Bay 1895. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Boechera pendulocarpa,Boechera pendulocarpa,A. holboellii synonymous with several Boechera segregates. No records for area found.,,,,,,,Arabis holboellii = Boechera holboellii. No records for area found. (TL),TL,remaining,remaining
saanich,Brassicaceae,Boechera stricta,Boechera stricta,Cooke View Royal 1934.,,,,,,,RBCM V081261 E. Cooke Victoria: Esquimalt 1934. (TL),TL,remaining,remaining
saanich,Brassicaceae,Brassica juncea,Brassica juncea,Native of Europe; locally established as a weed.,,,,,,,RBCM V009465 E. Cooke Victoria: Burnside area 1934. (TL),TL,remaining,remaining
saanich,Brassicaceae,Brassica nigra,Brassica nigra,Native of Europe; roadsides and waste ground; sporadic throughout.,,,,,,,RBCM V0522801 C.F. Newcombe Victoria 1920.,TL,remaining,remaining
saanich,Brassicaceae,Brassica rapa,Brassica rapa,Native of Europe; widely escaped in waste ground throughout.,,,,,,,RBCM V002098 J.M. Macoun Sidney: 4th Street 1912. (TL),TL,remaining,remaining
saanich,Brassicaceae,Cakile edentula,Cakile edentula,Along the coast; locally abundant.,,,,,,,UBC V12503 J.K. Henry Cadboro Bay 1915. RBCM V002138 J.K. Henry Oak Bay: Willows Beach 1915. (TL) ,TL,remaining,remaining
saanich,Brassicaceae,Cakile maritima,Cakile maritima,Native of Europe; reported from sandy beaches in Victoria. FL Dock Island 2005.,,,,,,,"RBCM V040870 C.F. Newcombe Victoria; James Bay: Dallas Rd, off Government St 1915. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Camelina sativa,Camelina sativa,"Native of Europe, occasiona weed of sandy soils. Newest collections at V 1930.",,,,,,,RBCM V002134 J.R. Anderson Cedar Hill; Broadmead 1896. (TL)  ,TL,remaining,remaining
saanich,Brassicaceae,Capsella bursa-pastoris,Capsella bursa-pastoris,"Native of Europe, common and widely distributed throughout.",,,,,,,RBCM V002141 J.R. Anderson Victoria 1894. (TL),TL,remaining,remaining
saanich,Brassicaceae,Cardamine angulata,Cardamine angulata,"Wet ground; rare; known only from Mt Tolmie where it was collected by G.A. Hardy in 1925 and Langford, where it was collected by A.F. Szczawinski in 1970. CDC Explorer no Saanich area records.",,,,,,,"UBC V12619 E.C. Reid Saanichton 1939. UBC V12617 J.W. Eastham Sooke 1939. Cardamine angulata RegelBull. Soc. Imp. Naturalistes Moscou 34(1): 172. 1861 This name is a synonym of Cardamine hirsuta L . The record derives from WCSP (in review) which reports it as a synonym of  Cardamine hirsuta L. (TL)
                                                                                                                     
                                                                                                                ",TL,remaining,remaining
RBCM V002158,Brassicaceae,Cardamine breweri,Cardamine breweri,"Wet places; known only from Beaver Lake, where it was collected by C.F. Newcombe in 1924.",,,,,,,RBCM V002159 J.R. Anderson Chemainus 1898. (Cardamine breweri Wats. var. orbicularis (Greene) Detl. = Cardamine breweri S. Watson). (TL),TL,remaining,remaining
saanich,Brassicaceae,Cardamine flexuosa,Cardamine flexuosa,HLR Mill Hill 2006. Zika near RBCM 2001.,,,,,,,"RBCM V184066 A.&O. Ceska, R. Ogilvie Bentick Island 1983. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Cardamine hirsuta,Cardamine hirsuta,Native of Europe; sporadically occuring as a weed throughout.,,,,,,,"UBC V53617 V.J. Krajina Finlayson Point, Victoria 1950. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Cardamine nuttallii,Cardamine nuttallii,"Moist woods; occasional; Uplands, Ten Mile Point, Mt Douglas, and Thetis Lake Park.",,,,,,,"UBC V12708 J. Davidson Islands south area, Esquimalt 1912. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Cardamine occidentalis,Cardamine occidentalis,"CFN Beaver Lake 1924, AC Cordova Bay 1993.",,,,,,,RBCM V040878 C.F. Newcombe Victoria: Beaver Lake 1924. (TL),TL,remaining,remaining
saanich,Brassicaceae,Cardamine occulta,Cardamine occulta,"FL Queenswood Nursery, 6458 Central Saanich Road 2007, naturalized? FL Beach Drive, Oak Bay 2007",,,,,,,UBC V233448 F. Lomer Central Saanich 2007. UBC V233453 F. Lomer Oak Bay 2007. (TL),TL,remaining,remaining
saanich,Brassicaceae,Cardamine oligosperma,Cardamine oligosperma,Wet places; very common throughout.,,,,,,,RBCM V002155 J.R. Anderson Victoria 1898. [Cardamine oligosperma Nutt. var. oligosperma = Cardamine oligosperma Nutt.] [Cardamine oligosperma Nutt. var. kamtschatica (Regel) Detling = Cardamine umbellata Greene] (CPNWH) (TL),TL,remaining,remaining
saanich,Brassicaceae,Cardamine pensylvanica,Cardamine pensylvanica,Moist places; sporadic throughout.,,,,,,,RBCM V002162 J.R. Anderson Beaver Lake 1897. (TL),TL,remaining,remaining
saanich,Brassicaceae,Conringia orientalis,Conringia orientalis,"Native of Europe; rare; known from Swartz Bay, where it was collected by M. C. Melburn in 1959. Macoun Marine Drive, Sidney 1913.",,,,,,,RBCM V002181 J.M. Macoun Sidney: Marine Drive 1913. (TL) ,TL,remaining,remaining
saanich,Brassicaceae,Descurainia pinnata ssp. brachycarpa,Descurainia pinnata brachycarpa,Occasional weed; extremely variable in habit.,,,,,,,RBCM V008225 V. Goddard James Island 1927. (TL),TL,remaining,remaining
saanich,Brassicaceae,Descurainia sophia,Descurainia sophia,Native of europe; waste places; a sporadic weed here. Brackman-Kerr 1941 unspecified location Victoria.,,,,,,,UBC V13136 Brackman-Kerr Victoria 1941.  (TL),TL,remaining,remaining
saanich,Brassicaceae,Diplotaxis tenuifolia,Diplotaxis tenuifolia,FL Finnerty Cove 1993 arbutus-Douglas fir woods in open ground.,,,,,,,"UBC V207797 F. Lomer Off Arbutus Rd near Finnerty Cove & University of Victoria, Saanich 1993. (TL)",TL,remaining,remaining
saanich,Brassicaceae,Draba nemorosa,Draba nemorosa,Annual; listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands and by J. K. Henry in his Flora of Southern British Columbia as occuring in Victoria; specimens not examined. No vouchers found.,,,,,,,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands 919210 and by J. K. Henry in his Flora of Southern British Columbia as occurring in Victoria. (TL),TL,remaining,remaining
saanich,Brassicaceae,Draba verna,Draba verna,"Open, grassy plains; sporadic throughout.",,,,,,,Herbarium CMN (Canadian Museum of Nature) CAN 62788 J.M. Macoun Cadboro Bay 1908. (TL),TL,remaining,remaining
saanich,Brassicaceae,Erysimum cheiranthoides,Erysimum cheiranthoides,Native of Europe; common weed of cultivated ground and waste places.,,,,,,,RBCM V040955 W. Newcombe Langford in 1932 known as Langford district near Victoria 1932. (TL),TL,remaining,remaining
saanich,Brassicaceae,Erysimum cheiri,Erysimum cheiri,Garden escape - many iNaturalist reports throughout peninsula. FL Cadboro Bay 2012. Marr View Royal 2007. FL & KM Clover Point 2007. TCB Clover Point 1994.,,,,,,,RBCM V172690 T.C. Brayshaw Victoria; Clover Point: ca 400 m W of point 1994. (TL),TL,remaining,remaining
saanich,Brassicaceae,Hesperis matronalis,Hesperis matronalis,Native of Europe; locally established in waste places as a garden escapee and spreading.,,1913,J.M. Macoun,RBCM,V002189,?,RBCM V002189 J.M. Macoun Seaside Thomas Greening 1913. (TL) Note: Location verbatim.,TL,in progress,remaining
saanich,Brassicaceae,Hornungia procumbens,Hornungia procumbens,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands; Beacon Hill and Victoria; specimens not examined. No voucher found.,,,,,,,Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands 1921. (TL),TL,remaining,remaining
saanich,Brassicaceae,Idahoa scapigera,Idahoa scapigera,"Rocky, dry soil; occasional; Mount Douglas, Mill Hill and Observatory Hill in Saanich; collected for the first time by C.F. Newcombe at Observatory Hill, Saanich, in 1920 and then by Miss W. Redfern at Mount Douglas, Saanich, in 1925; at the Provincial Museum in Vi J Pojar, Lone Tree Hill. HLR and AC other collections.",,1887,J.M. Macoun,GBIF,12506,Mount Finlayson,,"TL, AS",complete,remaining
saanich,Brassicaceae,Isatis tinctoria,Isatis tinctoria,Victoria in my notes - check. Nothing on CDC Explorer or CPNWH site. Shawnigan Lake nearest.,,1928-07-01,J. Travis,RBCM,V020069,Shawnigan Lake,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium campestre,Lepidium campestre,"Native of Eurasia; dry, open fields and open places; occasional agricultural weed throughout.",,1923-05-01,Raven,RBCM,V006437,South Saanich,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium densiflorum,Lepidium densiflorum,"Dry, open places; occasional throughout; most likely introduced. Macoun Sidney 1914. Macoun Oak Bay Uplands 1913.",s. lat.,1913-07-15,J.M. Macoun,RBCM,V002193,Oak Bay: Uplands,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium didymum,Lepidium didymum,"Known from Beacon Hill Park, where it was collected by A. Hockley in 1966. MCM Saanich Experimantal Farm 1969. TCB Beacon Hill Park 1987. Marr Point Hope Shipyard, Clover Point, Hartland landfill 2007.",,1966-04-12,A. Hockley,RBCM,V100999,Beacon Hill Park; near sea,Found under synonym Coronopus didymus. (TL),TL,remaining,remaining
saanich,Brassicaceae,Lepidium draba,Lepidium draba,Native of Europe; roadsides and fields; occasional as a weed.,,1900-05-15,J.R. Anderson,RBCM,V002203,James Bay Flats,Found under synonym Cardaria draba. (TL),TL,remaining,remaining
saanich,Brassicaceae,Lepidium heterophyllum,Lepidium heterophyllum,Native of Europe; introduced and becoming quite abundant in South Saanich and Goldstream; several mainland collections Vancouver and some interior.,,1923-01-01,G. Copley,RBCM,V006657,Telegraph Bay,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium oxycarpum,Lepidium oxycarpum,AC locations Victoria? E-flora maps show AC collection just offshore of Ghana??,,1893-05-31,J.M. Macoun,GBIF,13128,Cadboro Bay,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium ruderale,Lepidium ruderale,Harrison Island View Beach 1966.,,1966-05-25,A.S. Harrison,CNWPH,2508974,Saanich; Island View Beach,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium sativum,Lepidium sativum,Native of Egypt and West Asia; cultivated as a salad herb all over the world; occasionally escaping from cultivation in some areas. Macoun Sidney 1913.,,1913-07-22,J.M. Macoun,RBCM,V002191,Sidney,,TL,remaining,remaining
saanich,Brassicaceae,Lepidium strictum,Lepidium strictum,Macoun Oak Bay 1893. Nearest recent Port Townsend on CPNWH site.,,1921,J.M. Macoun,RBCM,p. no.,Victoria,"Listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands ""L. strictum Locally distributed, Vancouver Island— Cadboro Bay."" TL",TL,remaining,remaining
saanich,Brassicaceae,Lepidium virginicum ssp. pubescens,Lepidium virginicum,"Dry, sandy ground; a very widely distributed weedy plant. ssp. menziesii probably.",,1896-06-14,J.R. Anderson,RBCM,V002202,Oak Bay,,TL,remaining,remaining
